,0,1,2,3,4,5,6
64,株式会社山王 | 無理なくステップアップできる ＆ 20代30代が活躍中の成長企業,【 営業なのに！販売や提案は無し 】あなたの仕事は商品説明だけ！　★ご紹介する商材は、省エネプランやエコ商品、電気自動車、リノベーションなど,【営業未経験、社会人デビュー、正社員デビューも大歓迎】◎要運転免許　◎男女不問　◎45歳までの方（※）　★イチから学べる教育研修あり,本社（福岡市中央区）または福岡市早良区、福岡市博多区 ★転勤なし ★マイカー通勤OK（福岡西営業所…,月給25万円　+　インセンティブ ※待遇条件の詳細については、面接などでご相談ください。 ※有資格者に…,500万円～2000万円,https://tenshoku.mynavi.jp/jobinfo-141923-1-34-1/msg/?ty=0&searchId=1275580346&pageNum=2&showNo=16
65,株式会社ビッグモーター | 業界No.1の安定性／全国募集／転勤なし／面接1回／基本土日休み,【移動範囲は1～2時間の短距離中心！】配送ドライバーとして、ビッグモーターで修理・整備するクルマの引き取り／納車などをお任せします。,【未経験・第二新卒歓迎／学歴不問！】 ＼ブランク・転職回数も一切問いません／ ■要普通免許（AT限定可）　☆夜勤なし ☆月8～10日休み,★転勤なし ★全国の各拠点で大募集（鈑金工場併設店舗） ★マイカー通勤OK！ ★U・Iターン歓迎♪…,月給27万8600円〜40万円＋諸手当 ※スキル・経験等を考慮し、決定いたします。 ※配送手当などの一律手…,300万円～700万円,https://tenshoku.mynavi.jp/jobinfo-137576-1-187-1/?ty=0&searchId=1275580346&pageNum=2&showNo=17
66,株式会社ビッグモーター | 業界No.1企業の安定性／面接1回／転勤なし／月8～10日休み,【入社後はイチから丁寧にレクチャー！】クルマの名義変更手続き・届け出などの事務作業をお任せします。★マニュアル完備！難しい作業はありません♪,【未経験・第二新卒歓迎！】＼学歴・性別・年齢不問／ オフィスワークに興味がある方歓迎！★90％以上が未経験スタート ★既卒・社会人デビューもOK,☆転勤なし！全国募集＆勤務地は希望を考慮します♪ ☆オープニング募集あり！ ☆マイカー通勤OK♪…,"【東京・埼玉・千葉】 月給233,600円以上 ＋ 賞与年2回 ※経験・能力等を考慮し決定いたします。 ※固定…",300万円～550万円,https://tenshoku.mynavi.jp/jobinfo-137576-1-186-1/?ty=0&searchId=1275580346&pageNum=2&showNo=18
67,株式会社ビッグモーター | 業界No.1の実績＆安定性／面接1回／月8～10日休み／転勤なし,クルマの凹みやキズの修理に関する受付、事務業務などをお任せします。◎データ入力や電話対応がメイン。難しい業務はありません♪,＜未経験・第二新卒歓迎！女性活躍中＞■「車に詳しくない…」そんな方も大丈夫！☆産休育休取得実績多数あり,★転勤なし ★全国の各拠点で大募集（鈑金工場併設店舗） ★マイカー通勤OK！ ★U・Iターン歓迎♪…,【東京・千葉・埼玉エリア】 ■月給25万3600円〜38万5200円 ＋ 業績給 ＋ 賞与年2回 【上記以外のエリア…,300万円～550万円,https://tenshoku.mynavi.jp/jobinfo-137576-1-188-1/?ty=0&searchId=1275580346&pageNum=2&showNo=19
68,株式会社ランディックス | 【2019年12月マザーズ上場】★平均年収750万円★年間休日113日,【100％反響 & テレアポ・飛び込みなし】◆世田谷、目黒、渋谷などの人気エリアに特化した高級不動産仲介★ネット集客にも注力★チーム制の営業,【第二新卒歓迎・未経験OK】20~30代前半の男女活躍中◆要普免（AT限定可）★2週に一度の研修＆チーム制で安心！,桜新町、自由が丘、恵比寿の各センターでの勤務。 ※勤務地は希望を考慮します。 ＊--アクセス◎各勤…,月給 25万円以上＋（歩合給）＋（賞与） ※経験・スキルを考慮の上、決定します。 ※みなし残業手当42時…,300万円～800万円,https://tenshoku.mynavi.jp/jobinfo-229179-1-8-1/msg/?ty=0&searchId=1275580346&pageNum=2&showNo=20
69,株式会社そら | 【注目の「Dr.ストレッチ」を展開】10/24転職フェア＠千葉出展！,【あなたの”夢”を応援！ぜひ目標を教えてください！】◆ストレッチ専門店でトレーナーとして施術をお任せします◆手厚い研修あり！未経験でも安心♪,【未経験・第二新卒歓迎】◆スポーツ好きの20代が活躍中！◆営業や接客の経験をお持ちの方を歓迎します！目標に向かって努力する先輩が多数活躍中♪,【原則転勤無し】 東京(23区)、千葉、神奈川(横浜・川崎）、大阪にあるいずれかの店舗での勤務。す…,"月給 226,000円〜290,000円 +各種手当 ※昇給年4回！アナタの頑張りを随時評価します♪ ※月給には固定…",300万円～550万円,https://tenshoku.mynavi.jp/jobinfo-200119-1-38-1/?ty=0&searchId=1275580346&pageNum=2&showNo=21
70,株式会社エージェントゲート | 大手案件で社会を支える安定性◇有給取得率100％◆定期昇給あり,【5G・AWSなど先進技術／上流（設計・構築）/長期プロジェクトなど希望に応じ配属】◆運用監視1年の経験あれば即・上流もOK★前職給与以上を保証！,【経験者からスキルに自信ない経験浅めまで歓迎】◆インフラエンジニア経験1年以上（運用保守のみOK）★土日祝休み＆残業基本ナシで生活安定！,首都圏（東京23区／丸の内・品川・東京・新宿・渋谷・六本木・秋葉原・池袋／横浜／大宮／千葉）などの…,経験者／月給35万円〜 経験浅め／月給23万円〜 PM・PL／月給45万円〜 ★前給以上を保証します！ ※経験…,300万円～1000万円,https://tenshoku.mynavi.jp/jobinfo-112551-1-141-1/msg/?ty=0&searchId=1275580346&pageNum=2&showNo=22
71,株式会社エージェントゲート | Web面談実施中★年間休日130日★Python／Java／Rubyなど案件多数,【案件の強制なし！やりたい言語を最優先！大手プライムあり】◆スマホアプリ・業務システム・ゲームなどのプログラミング★技術力を高め収入UPOK！,【平均年齢28歳／第二新卒歓迎】◆PGの実務経験（半年以上）★担当営業が小さな問題も解決し伴走！★PG経験2年目で入社し月給10万円アップの実例あり,首都圏（東京23区／丸の内・品川・東京・新宿・渋谷・六本木・秋葉原・池袋／横浜／大宮／千葉）などの…,経験者／月給30万円〜 経験浅め／月給23万円〜 ※経験値の高い方は月給40万円〜でお迎えします！ ★前給…,300万円～1000万円,https://tenshoku.mynavi.jp/jobinfo-112551-1-142-1/msg/?ty=0&searchId=1275580346&pageNum=2&showNo=23
72,株式会社秀光ビルド | 全国34拠点を展開するハウスメーカー／原則定時退社,＼テレアポ・飛び込み・個人ノルマ一切なし／　お客様に寄り添った住まいづくりのご提案　★100％反響営業！ご来店されたお客様に対応します,＼未経験・第二新卒歓迎！人物重視の採用／　★特別な資格や建築業界の経験は不問！★新しい方をイチから育てる方針です ◆要普通免許（AT限定可）,【原則転勤なし／マイカー通勤OK】 東北、北陸、甲信越・東海、近畿、中国、四国の各拠点に希望を考慮…,月給20万円〜40万円 ＋ 諸手当 ＋ インセンティブ ※経験・年齢を考慮の上、当社規定により優遇します ※…,300万円～600万円,https://tenshoku.mynavi.jp/jobinfo-276752-1-2-1/msg/?ty=0&searchId=1275580346&pageNum=2&showNo=24
73,株式会社ダイナミクス | 残業月20h以内｜100店舗以上を展開｜新規業態続々企画中☆,＼自由度×裁量が大きい当社で一緒に会社を盛り上げよう／◆30ブランドの内、いずれかの店舗運営をお任せ★動画マニュアルで未経験も安心★残業月20h,幅広い年代の方を積極採用】飲食店での実務経験がある方★店長経験3年以上の方は優遇します！★アルバイト経験のみもOK★他業界出身の方も歓迎★,★---30ブランド&100店舗以上を展開---★ <当社各店舗> 京都・大阪・兵庫・東京・千葉・…,月給26万円〜28万5658円+賞与あり（業績による）+各種手当 ※経験・スキルを考慮の上決定いたします。 …,350万円～500万円,https://tenshoku.mynavi.jp/jobinfo-270211-1-3-1/msg/?ty=0&searchId=1275580346&pageNum=2&showNo=25
74,株式会社T-TOP | 【大阪府緊急雇用対策に賛同】大手ガス会社の拡販パートナー,"【月収50万円以上を実現している先輩が多数！】大手電力会社や大手ホームセンターの""顔""としてサービスを提供します。※安心のフォロー体制あり！",【性別・学歴不問】◆40歳以下の方(若年層の長期キャリア形成を図るため) ※異業種出身・営業未経験の先輩も多数活躍中　※地元で働きたい方歓迎！,※大阪(交野市)・兵庫(垂水)などの各拠点♪ ※U・Iターン歓迎 ※転勤なし ◆大阪府交野市 ◆兵…,◆完全週休2日制／月給25万円〜 ◆隔週休2日制／月給28万円〜 ＜モデル月収例＞ 月収50万円／20代／入…,https://tenshoku.mynavi.jp/jobinfo-224893-1-16-1/?ty=0&searchId=1275580346&pageNum=2&showNo=26,
75,株式会社テイクス | 【新宿事業所】東証一部アイ・エス・ビーグループ★通勤面相談可,【キャリアを活かせる、伸ばせる仕事を！】開発・インフラ分野で経験を活かせる仕事をお任せします。★在宅・リモート案件あり★,【技術スキルを活かした転職を実現したい方に最適】年数を問わずシステム開発やインフラ分野での実務経験をお持ちの方※高卒以上,東京、神奈川、埼玉、千葉のプロジェクト先 ※転勤はありません。 ※勤務地は最大限考慮。 ※働きやす…,◆月給22万円〜50万円+賞与　※高収入を掴むことも可能です。 ※知識・スキル・経験年数等最大限考慮し…,300万円～650万円,https://tenshoku.mynavi.jp/jobinfo-222482-1-6-1/?ty=0&searchId=1275580346&pageNum=2&showNo=27
76,株式会社テイクス | 【池袋事業所】19年連続増収増益！上場企業グループ会社,【一人ひとりに最適なステージをご用意！】開発・インフラ分野で希望のプロジェクトをお任せします。★在宅・リモート案件あり★,【最新技術を習得したい、スキルアップを実現したい方に最適な環境】年数を問わずシステム開発やインフラ分野での実務経験をお持ちの方(年数不問),東京、神奈川、埼玉、千葉のプロジェクト先 ※本人希望による転勤あり。 ※勤務地は最大限考慮。 【池…,◆月給22万円〜50万円+賞与　※高収入を掴むことも可能です。 ※知識・スキル・経験年数等最大限考慮し…,300万円～650万円,https://tenshoku.mynavi.jp/jobinfo-222482-1-7-1/?ty=0&searchId=1275580346&pageNum=2&showNo=28
77,アクサス株式会社 | 【テレワーク案件も稼動中】★月残業20h未満★年間休日125日以上,【チーム単位のプロジェクト参画で安心！】サーバーの設計・構築案件を担うインフラエンジニアとして、スキル＆キャリアUPを目指せます。,【経験者も未経験者もお待ちしています！】※働き方を改善させたい方、スキルを更に磨きたい方、長く腰を据えてキャリアを築きたい方、ともに歓迎！,【転勤なし/希望エリア/Iターン/Uターンで勤務可能】 東京・愛知・大阪・北海道・広島・香川。 拠…,月給35万円〜＋諸手当（育児サポート手当、交通費全額支給、役職手当、特別作業手当) ※固定残業代（20時…,420万円～750万円,https://tenshoku.mynavi.jp/jobinfo-130923-1-9-1/?ty=0&searchId=1275580346&pageNum=2&showNo=29
78,T.U.C.GROUP 合同募集 | グループ14拠点を展開！ベンツ/BMW/Audi/VWなどを扱っています,【ノルマなし！還元率の高いインセンティブ制度あり】お問い合わせ・ご来店いただいたお客様への提案営業をお任せ。★100％反響営業★,【意欲重視採用】◆学歴・経験・知識・転職回数一切不問！第二新卒歓迎◇「ノルマなし」「売れる環境」で未経験から安心デビューできます！,東京、千葉、神奈川、埼玉いずれかの店舗に配属 希望を考慮の上、決定します 【株式会社ティーユーシー…,月給20万円以上＋歩合 ※経験・能力を考慮の上、当社規定に基づき決定いたします。 ※上記には固定残業…,350万円～600万円,https://tenshoku.mynavi.jp/jobinfo-235762-1-5-1/?ty=0&searchId=1275580346&pageNum=2&showNo=30
79,株式会社テイクス | 【本社】上流工程のプロジェクトも多数！上場企業グループ会社,【上流工程に携われるチャンス多数！】開発・インフラ分野で希望のプロジェクトをお任せします。★在宅・リモート案件あり★,【技術スキルを活かした転職を実現したい方に最適】年数を問わずシステム開発やインフラ分野での実務経験をお持ちの方※学歴不問,東京、神奈川、埼玉、千葉のプロジェクト先 ※転勤はありません。 ※勤務地は最大限考慮。 【東京本社…,◆月給22万円〜50万円+賞与　※高収入を掴むことも可能です。 ※異業種での経験を含めて、知識・スキル…,300万円～650万円,https://tenshoku.mynavi.jp/jobinfo-222482-1-5-1/?ty=0&searchId=1275580346&pageNum=2&showNo=31
80,ソリットコンサルティング株式会社 | 【収益用不動産を扱う成長中ベンチャー企業】★20～30代活躍中！,資産運用をお考えのお客様に向けて、投資用物件をご提案して頂きます。★マンツーマン研修あり！不動産の知識が無い方も安心してスタート出来ます！,【未経験・第二新卒歓迎／31歳以下】■学歴不問■要普免(AT可)★未経験から高収入を目指したい方★人生を好転させたい方《育成前提／意欲重視採用》,【本社】 東京都目黒区下目黒2-2-16　第6千陽ビル5Ｆ ★転勤なし ★直行直帰OK,月給30万円以上＋インセンティブ ★成約1件あたり「＋30万〜120万円」 ※月給額は能力を考慮の上、決定…,350万円～1000万円,https://tenshoku.mynavi.jp/jobinfo-147714-1-14-1/msg/?ty=0&searchId=1275580346&pageNum=2&showNo=32
81,株式会社松江電気商会 | 坂井市・福井市を中心に30年以上も電気のある生活に貢献！,【じっくり丁寧に教えます！】戸建や公共施設、工場などの電気工事をお任せします ◆転勤のない「地域密着型」の活躍ができます！,【未経験歓迎！要普免（AT可）・性別／学歴不問】※経験者、もしくは1・2種電気工事士の資格をお持ちの方は給与面で優遇します！,【転勤なし】 ◆本社／福井県坂井市丸岡町一本田中38-1-1 ※マイカー通勤OK,◆月給20万円〜30万円 ◆月給23万円〜35万円／電気工事士1種をお持ちの方 ※これまでの経験・能力等を十…,https://tenshoku.mynavi.jp/jobinfo-267353-1-1-1/?ty=0&searchId=1275580346&pageNum=2&showNo=33,
82,東京・日本交通株式会社 | 【大阪本社】売上業界No.1グループ【大阪府緊急雇用対策に賛同】,業界大手「日本交通グループ」の乗務員として自分らしく働いてください【稼げる・休める仕組みを一から十まで徹底的に整備しました】,"肩ひじはらず、ゆったりと働きたい方│生活と収入の調和をはかりたい方│要普通免許（取得後3年以上）【未経験入社90%】【出勤日は多くて""月に13日""】",[難波]・[神戸] いずれかで勤務いただきます ※転勤なし ※ご希望を考慮のうえ配属 ＜勤務地＞…,［難波］月給16万2000円＋歩合給＋賞与（年2回） ［神戸］月給15万1200円＋歩合給＋賞与（年2回） ※乗務…,350万円～650万円,https://tenshoku.mynavi.jp/jobinfo-282154-1-2-1/msg/?ty=0&searchId=1275580346&pageNum=2&showNo=34
83,株式会社レインオンファニー | ★WEB面接1回のみ！★年休120日以上 ★直請約70％,【会社都合・営業都合の勝手なアサイン一切なし】常時1000件以上のプロジェクトの中から、あなたの希望や適性に応じて開発をお任せします。,【経験者大歓迎】システム開発orインフラ構築の経験が1年以上ある方 ◇収入UP・スキルUPを目指したい方 ☆WEB面接1回で内定可能！,★転勤なし［首都圏（東京、神奈川、千葉）、関西（大阪、兵庫、京都）のクライアント先］ ※希望を考慮…,【前給＋年70万円保証】月給30万円〜 ＋ 各種手当 ■還元率80％！（在籍年数に応じて還元率はさらにUPし…,500万円～1100万円,https://tenshoku.mynavi.jp/jobinfo-277652-1-4-1/msg/?ty=0&searchId=1275580346&pageNum=2&showNo=35
84,大東建託株式会社 | ★大人気「営業職」の東海エリアで大募集！★,土地のオーナー様に有効活用の手段としてアパート・マンションなどの賃貸経営をご提案！,★30代・40代・50代活躍中！★歩合給でガッツリ稼ぎたい方大歓迎！◆高卒以上！◆営業スキルを向上させ、営業のプロフェッショナルになりたい！,【募集支店一覧】 名古屋中央、名古屋、名古屋北、名古屋西、名古屋港、春日井、小牧、一宮、多治見、岐…,"■月給：21万6,000円 + 歩合給 ※一律手当を含む ※残業代は実稼働分を別途支給！ ※歩合給：実績（契約…",300万円～1500万円,https://tenshoku.mynavi.jp/jobinfo-284101-1-1-1/msg/?ty=0&searchId=1275580346&pageNum=2&showNo=36
85,株式会社ケイディアイ | 【東証一部上場のナックグループ】完休2日制・働きやすさ抜群,【段階的に業務を学べる環境！】不動産事業用地・区画マンションの仕入～企画～販売と一貫して携わる「仕入企画営業」です。◎万全のサポートあり！,【未経験者・経験者どちらも歓迎！】◆学歴不問◆用地仕入や不動産業界の実務経験はもちろん、営業・販売など人と触れ合う仕事の経験も活かせます！,≪銀座本社勤務・駅近で、雨の日でもスムーズに通勤できます≫ ◇本社／東京都中央区銀座2-7-18…,月給25万円〜40万円＋インセンティブ＋賞与 ※経験・能力を考慮し、当社規定により優遇します ※試用期間…,400万円～800万円,https://tenshoku.mynavi.jp/jobinfo-184273-1-11-1/?ty=0&searchId=1275580346&pageNum=2&showNo=37
86,関西不動産販売株式会社 | 【16期連続増収増益】★年間ボーナス”1000万円”の支給実績あり,【完全反響営業！配属店舗でのバックアップなど“売れる仕組み”あり！】マイホームの売却や購入を検討されるお客様の要望に沿った提案を行います。,【未経験・第二新卒歓迎／不動産業界の経験はなくてもOK！】◆学歴・性別不問 ◆要普免（AT限定可）◇管理職候補となる業界経験者も大歓迎です！,高槻市・豊中市・箕面市にある、本社および各店舗が勤務地となります。 ☆配属先は希望を考慮の上、 決…,■月給25万円以上+ 各種手当 + 賞与年2回 ■管理職：月給35万円以上+ 各種手当 + 賞与年2回 ［月収例］…,https://tenshoku.mynavi.jp/jobinfo-142668-1-4-1/?ty=0&searchId=1275580346&pageNum=2&showNo=38,
87,インターギアソリューション株式会社 | 【業界トップクラスの売上規模/メンバー数】★応募の秘密は厳守,人材募集を考える企業様に中途採用の広告のご案内を電話で行います。★入社したばかりの方も5時間で100コールできる最先端のクラウドシステムも導入済,《★高卒以上★ブランクOK★アポインター業務経験ある方は歓迎》★法人企業へ電話をかけることが好きな方、新規開拓にやりがいを感じる方は大歓迎！,★赤坂のオフィスを自由に利用！ ★最寄駅出口から目の前でアクセスも抜群！ 【弊社事業所】 東京都港…,『月額32万円以上』or『フルコミッション制』を選べます ※3ヵ月毎契約更新 【月額報酬】 32万円以上 +…,400万円～1100万円,https://tenshoku.mynavi.jp/jobinfo-70174-1-85-1/msg/?ty=0&searchId=1275580346&pageNum=2&showNo=39
88,クオリア・コンサルティング株式会社 | ★有休消化率100％ ★賞与年4回 ★未経験から平均月収60万円★,【飛び込み・ノルマなし】ビジネスをおこなう事業者であれば、規模や業界を問わずに利用できる、家賃をはじめとした「経費」の削減サービスを提案,【未経験者、歓迎！】※第二新卒OK！※キャリアを変えたい異業種出身・営業未経験者も歓迎！◆学歴・経験・性別不問☆20～30代メンバーが多数活躍中！,《新宿本社で積極採用！》 《転勤無し！》 【本部事務所】 東京都新宿区西新宿6-15-1 セントラ…,月給：25万円〜 ★さらに年4回の賞与あり！ ★社員の平均年収：700万円以上 （試用期間3ヵ月、月給22万円…,350万円～1000万円,https://tenshoku.mynavi.jp/jobinfo-157103-1-8-1/msg/?ty=0&searchId=1275580346&pageNum=2&showNo=40
89,株式会社ヒカリッチアソシエイツ | 有休消化率100％★店長へ最短6ヶ月の実績★面接は1回★転勤なし,【店舗運営全般をお任せします】◆未経験者も安心の教育体制！★店長へのスピーディーなキャリアUPや人事・営業・メニュー開発など多彩なキャリアパス,【経験・職歴・学歴一切不問！第二新卒歓迎！】◆社会人経験をお持ちの方（業界・年数・分野不問）◆異業種の接客経験・店長経験者も歓迎！,東京・神奈川で勤務 ☆引越し補助あり！U・Iターンや上京したい方も歓迎！ ☆勤務地は本人の希望を考…,◆店長候補としてお迎えする場合 月給30万円以上 ＋ 残業代別途支給 ◆店長としてお迎えする場合 月給35…,350万円～600万円,https://tenshoku.mynavi.jp/jobinfo-244943-1-11-1/?ty=0&searchId=1275580346&pageNum=2&showNo=41
90,株式会社ホリコシ産業 | 業績好調の安定企業｜お客様に愛される仕事｜転勤なしで安心,【100％中途入社｜作業着・社用PC・社用車は会社支給｜スピード昇進可能】ガス・空調・水廻り・電気などのライフラインにお困りのお客様をサポート！,"【学歴・性別・営業経験も一切不問の""ヤル気""採用】応募条件：普通自動車免許(AT限定可)のみ！向上心を持って取り組める方、ぜひご応募ください！",【転勤なし】【マイカー通勤OK】【U・Iターン歓迎】 本社／静岡県浜松市北区根洗町16-3 ＜Po…,月給：20万円〜37万円 ※年齢、経験、能力を考慮の上、優遇します。 ※試用期間6ヶ月あり（期間中の待遇…,300万円～500万円,https://tenshoku.mynavi.jp/jobinfo-279480-1-3-1/msg/?ty=0&searchId=1275580346&pageNum=2&showNo=42
91,JAGフィールド株式会社 | 東証一部上場G・キャリアチェンジで生涯現役！オンライン面接可,【定着率は９割！】規模もジャンルも様々な建設プロジェクトで施工管理として活躍を！「生涯のキャリア」を考えた業務内容のシフトも可能です！,【40代を超え、生涯のキャリアを考えた転職を歓迎！】※学歴・転職回数・前職の雇用形態すべて不問！◆ジャンル問わず、何らかの施工管理経験者,全国47都道府県のプロジェクト先、またはオフィス ＜事業拠点＞ ◆東北支店 仙台市青葉区花京院1-…,月給37万5000円以上 ※経験・年齢・能力などを考慮して、給与額を決定します。 ※上記金額は40時間分の固…,450万円～620万円,https://tenshoku.mynavi.jp/jobinfo-282013-1-1-1/msg/?ty=0&searchId=1275580346&pageNum=2&showNo=43
92,株式会社ライジングサンセキュリティーサービス | 人物重視★応募者全員と面接します！／20～60代活躍中★,【福島県内主要駅周辺オフィスビル、商業施設、金融機関等の警備】★無理のないシフト★資格取得支援あり★成果は報酬に還元★バス・トイレ付の寮完備,【未経験者歓迎／年齢を気にせず応募可能／学歴・年齢不問】★担当施設へ直行直帰もOK！★人柄・意欲重視の採用！応募者全員とお会いします！,★福島エリアの各施設★ ※転居を伴う、転勤はありません！ ※希望を考慮の上、配属を決定いたします。…,月給28万円以上 ※時間外手当は別途支給 ※上記はあくまでも最低補償額。勤務地によって異なります。 ■…,300万円～600万円,https://tenshoku.mynavi.jp/jobinfo-180869-1-150-1/?ty=0&searchId=1275580346&pageNum=2&showNo=44
93,朝日ソーラー株式会社 | ★月給32万円以上（試用期間中）★魅力的なインセン,"【 太陽熱温水器メーカーの先駆け的存在！ 】自社商品の提案業務をお任せします ※丁寧な研修で2,3ヶ月後にはほぼ全員が月10台前後売れるまでに成長！",【未経験者／高収入を目指したい方歓迎！】◎学歴・年齢不問！異業種出身者も大勢活躍中！ゼロからでも安心してご応募ください。,【9月に宮崎支店を開設しました！】 東京、大阪、愛知、福岡、広島、宮城、群馬、愛媛、熊本、大分、長…,■月給29万円以上+歩合給(販売台数・商品による)＋報奨金＋諸手当 ※3ヶ月間の試用期間あり【月給34万円…,450万円～700万円,https://tenshoku.mynavi.jp/jobinfo-186093-1-67-1/msg/?ty=0&searchId=1275580346&pageNum=2&showNo=45
94,アドバンストテクノロジー株式会社 | 安定性＆ブランド力が抜群！NTT東日本・西日本のパートナー企業,【 残業ほぼナシ！毎日定時退社もOK 】NTT東日本・西日本のサービス・商材をニーズに合わせてご提案。既定のアポイントに応じてお客様を訪問します。,【 学歴不問！未経験者～経験者まで幅広く募集 】★全社員の70％以上が20～30代！活気のある職場です　※要普通免許（AT限定可）,東京都港区／山形市／山形県酒田市／大阪市／東大阪市／京都市／岡山市／広島市／高松市 ※本人希望以外…,【東京】 月給 27万円〜50万円(一律都市手当含む)＋賞与＋諸手当 【その他】 月給 23万円〜50万円(一律…,300万円～800万円,https://tenshoku.mynavi.jp/jobinfo-134992-1-15-1/msg/?ty=0&searchId=1275580346&pageNum=2&showNo=46
95,株式会社SORI | 【地域の道路インフラを支える企業】※年収1000万円も目指せます,【広島市周辺のみ・毎日帰れる・残業ほぼナシ！】道路舗装や土木工事の管理業務、重機のオペレーション操作、重機回送ドライバーいずれかをお任せ。,【積極採用中！経験の浅い方も歓迎】◎学歴・年齢不問 ◆要普免(AT限定不可) ◆舗装／土木工事の経験者。または中型・大型免許をお持ちの方,《 車通勤OK／無料駐車場有 》 広島県広島市安佐南区八木町343番地 ★UIターン歓迎！ ★転勤…,月給30万円 〜 100万円＋諸手当 ※経験・能力を考慮のうえ優遇あり 【月収例】 ◎月収52万円／34歳 ◎…,400万円～1000万円,https://tenshoku.mynavi.jp/jobinfo-272171-1-4-1/msg/?ty=0&searchId=1275580346&pageNum=2&showNo=47
96,日本交通株式会社 | 【銀座営業所】の募集◆9年連続業界売上NO.1の安定性◆賞与年2回,【未経験入社9割以上！】政治家や芸能人などの送迎業務★入社後5ヵ月間の手厚い研修あり！《日勤のみ／運転時間：1日平均4時間／月7~10日休み》,【学歴・ブランク不問】■普免(AT可)取得後3年以上の方★ドライバーとしての実務経験は問いません！車が好き、話すことが好きな方にはピッタリです♪,【銀座営業所】 東京都中央区銀座1-11-3 ★転勤なし 〈アクセス〉 都営浅草線「宝町駅」徒歩1…,【試用期間中】 月給25万円 + 交通費等 ★試用期間3ヶ月間は上記を”最低”保証！ ※法定研修3週間は日給…,400万円～500万円,https://tenshoku.mynavi.jp/jobinfo-263383-1-3-1/msg/?ty=0&searchId=1275580346&pageNum=2&showNo=48
97,大東建託株式会社 | 【東証一部・名証一部上場】◎フレックス制◎平均年収1021万円,【平均年収1021万円！】土地オーナー様に対して、資産運用につながる賃貸経営をご提案。長くお客様に寄り添い、高収入を目指せます！,《営業・業界経験不問》★9割以上が未経験スタート！◆高卒以上◆59歳以下の方(定年が60歳のため)◆要普免(AT限定可)★完全週休2日で年間休日125日,《横須賀、横浜南、横浜西、大和、藤沢、平塚、小田原エリアで積極採用！》 《社用車での通勤も可能！》…,"月給 22万5,000円 ＋ 残業手当 ＋ インセンティブ ＋ 賞与年2回※個人の実績に応じて支給 ※月給には一律…",360万円～1000万円,https://tenshoku.mynavi.jp/jobinfo-252626-1-3-1/msg/?ty=0&searchId=1275580346&pageNum=2&showNo=49
98,株式会社アーキ・ジャパン | 平均月収53万円(施工管理・技術職)【大阪府緊急雇用対策に賛同】,大手ゼネコンや官公庁中心の建設プロジェクト（建築・土木・設備・電気・プラント）の施工管理業務。20～50代の幅広い年代が多数活躍中！,◆学歴・年齢不問 ◆施工管理の経験（年数不問／派遣会社・ゼネコン・メーカなど様々な業界からの転職者が多数在籍） ◆ブランクOK,全国47都道府県（首都圏・中部・関西・中国・四国・北陸・東北・北海道・九州）の各プロジェクト先 ※…,◆月給45万1040円〜 ※一律支給の手当、40時間分の固定残業代 9万円〜を含む ※超過分は別途支給します。…,600万円～1000万円,https://tenshoku.mynavi.jp/jobinfo-174708-1-110-1/msg/?ty=0&searchId=1275580346&pageNum=2&showNo=50
99,株式会社美意識グループ合同募集 | ★原則定時退社★1年目で年収500万円以上も可★独立支援制度あり,【研修＆サポート体制◎】女性専用エステサロン「KAIZENBODY」にて、カウンセリングや施術を担当　★技術者・講師・独立開業など、キャリアも多彩！,【学歴不問／未経験歓迎】★年齢不問！20～60代まで幅広く活躍中 ★ブランクOK！結婚や育児、介護などで、一度はキャリアを諦めた人もぜひご応募を！,転勤なし★全国で募集(希望エリアで勤務)★神奈川積極採用中！ KAIZENBODY中目黒店 東京都…,月給25万円以上 ※一律美容手当・一律地域手当を含みます。 ※その他役職手当・通勤手当など別途支給い…,300万円～500万円,https://tenshoku.mynavi.jp/jobinfo-278521-1-1-1/msg/?ty=0&searchId=1275580390&pageNum=3&showNo=1
100,株式会社ホットスタッフ博多 | TVCM放映中！全国に拠点を展開しているホットスタッフグループ,採用課題を抱えている企業と、仕事を探すスタッフさんとの要望を叶えるお仕事です！★20～30代が活躍中★ 現在、3つの支社長ポストが空いています！,＼ 未経験者・第二新卒も大歓迎 ／ ★営業や接客業などの経験をお持ちの方は活かせます。◎学歴不問 ◎運転免許 ★女性の管理職も活躍しています！,福岡県内のいずれかの支社に配属します。 ★お住まいや希望を考慮し、 配属先を決定いたします。 ◎…,"【 月給236,250円 ＋ 高歩合給 】 ★入社1年目で月収50万円以上も目指せます！ ※ 経験、能力を考慮の…",450万円～550万円,https://tenshoku.mynavi.jp/jobinfo-179143-1-24-1/?ty=0&searchId=1275580390&pageNum=3&showNo=2
