,0,1,2,3,4,5,6
399,GLOBAL HOLDINGS株式会社 | 旧:(株)彩の国ハウジングセンター／社名変更し更なる飛躍を図る,*★「売る」じゃなく「買う」お仕事だから始めやすい♪★* 新規開発事業部にて、中古物件を仕入れ、リノベーションし価値を再生させるお仕事！,＼29歳(未経験入社/3年目)で店長・月収60万超も／女性も活躍している職場♪はじめての不動産業界でも安心！★要普免(AT可) ★高卒以上 ★35歳まで(*),★転勤なし ★駅チカ ※[埼玉県さいたま市][埼玉県ふじみ野市]のいずれかに配属 ※配属先は希望や…,月給35万〜43万円＋高率インセンティブ10％＋賞与+報奨金 ※経歴や能力を考慮し、当社規定により優遇しま…,500万円～2000万円,https://tenshoku.mynavi.jp/jobinfo-160458-4-36-1/?ty=0&searchId=1275580528&pageNum=9&showNo=1
400,株式会社矢口　 | ◆経験者は前職給与を考慮！未経験者もOK！※年間休日110日♪※,【丁寧な教育体制で、焦らずステップアップが可能！】行政が管理する公共施設や大手企業の工場や施設など、さまざまなプロジェクトの施工管理を担当。,【施工管理資格が取れる！社長の直接指導で合格率も◎】未経験者の方・新築工事監督経験のある方、共に歓迎！■高卒以上 ■要普免,【業者代、敷金etc引っ越し費用負担！※移住者のみ！】 茨城県ひたちなか市笹野町1-1-5 ※≪つ…,月給25万円〜40万円 ≪月収例≫ 月給29万円／30歳独身／基本給27万円＋現場手当1万円＋現場管理手当5千…,330万円～520万円,https://tenshoku.mynavi.jp/jobinfo-157469-4-10-1/?ty=0&searchId=1275580528&pageNum=9&showNo=2
401,株式会社cosbi | 【大阪府緊急雇用対策に賛同】自社ブランドとOEMを手掛ける企業,テレアポ・新規飛び込みナシ！人気商品をヘアサロンに卸販売する営業担当者を募集しています。問い合わせ対応での営業のみ。,【人物・人柄重視の採用】■40歳まで（※）■基本的なPCスキル（Excel、Word）★学歴不問 ★第二新卒も歓迎 ★やる気があり、向上心のある方,【転勤ナシ！】 ■大阪営業所／大阪市西区南堀江1-16-9-413 《アクセス》 地下鉄「四つ橋駅…,■月給25万円以上＋賞与年4回+諸手当 ※経験や年齢を考慮して決定します ※一律手当を含む ※試用期間3ヶ…,300万円～1000万円,https://tenshoku.mynavi.jp/jobinfo-246166-4-4-1/?ty=0&searchId=1275580528&pageNum=9&showNo=3
402,株式会社シーテック | ◆中部電力元請け企業 ◆年俸500万円～ ◆正社員登用前提,《 中部電力の仕事がほとんど！だから無理なく進められる 》中部電力の発電所や変電所など、鉄製部品の「塗装施工管理」をお任せします。◆定着率96%,《 塗装業務の経験がなくても問題ありません 》◎土木または建築の施工管理経験 ◎2級土木施工管理技士の資格 ◎安定した経営基盤のもとで働きたい方,名古屋市港区遠若町3-7-1 ★UIターン歓迎／独身寮あり／車通勤可 ★直行直帰／出張あり(出張手…,◆年俸制500万円〜 ※前職給与を100％保証します。,500万円～700万円,https://tenshoku.mynavi.jp/jobinfo-278345-4-3-1/?ty=0&searchId=1275580528&pageNum=9&showNo=4
403,株式会社フリックス | 普免のみでOK/シフトは希望考慮・休みも自由/9割以上が未経験★,【自分のペースで働ける】大手運送会社から受託したネット通販の商品を個人宅・企業へ配送★小さくて軽い荷物中心/狭いエリアの配送で効率的/日額保障,【全員面接／未経験者歓迎】◇必要なのは普免(AT可)のみ！学歴・経歴・年齢不問 ◇リース車有 ★【自由な働き方】「稼ぐ」「休む」⇒全てあなた次第,直行直帰ＯＫ！ 【配送エリア】 東京都日野市・東京都八王子市・東京都多摩市・東京都立川市・東京都昭…,"完全出来高制（単価180円〜×個数） 【月収例】 月150〜160個×単価180円×26日勤務 ＝月収70万2,000円…",500万円～1000万円,https://tenshoku.mynavi.jp/jobinfo-269766-4-3-1/?ty=0&searchId=1275580528&pageNum=9&showNo=5
404,第一防災株式会社 | 20年以上黒字＆無借金経営／土日のみ＆副業としての選択も歓迎！,"【未経験から""手に職""を！】◆建物の消防設備や建築設備の点検・改修をお任せ ※まずは先輩の補助から徐々にお任せ ※ゆくゆくは起業も可能です！",【未経験・第二新卒歓迎／学歴・職歴・性別は一切不問】◆先輩のほぼ全員が未経験スタート＆今ではこの分野のプロに！※20～40代が多数活躍中！,【U・Iターン歓迎／当社営業エリア（関西または関東エリア）での業務となります】 ※原則自由／希望に…,完全歩合報酬制　※月払い制 ★業務委託スタッフの平均月報酬：40万円（月25日程度稼働の場合） ★待遇…,https://tenshoku.mynavi.jp/jobinfo-264761-4-7-1/?ty=0&searchId=1275580528&pageNum=9&showNo=6,
405,"ハウスグッド株式会社 | 【大阪府緊急雇用対策に賛同】年収2,000万円も可！高インセン有",用地仕入れ(物件調査)から反響営業(分譲住宅の販売、新築売買など)まで、トータルにお任せ。※未経験もイチから育成！★残業なし！プライベートも充実,【未経験者も経験者も歓迎！】◆学歴・経験・前職は不問 ◆要普免 ◎住宅の仕事に興味がある、年収1000万円以上をめざしたい方などを歓迎！,◎転勤なし ◎「谷町六丁目駅」徒歩1分 ◎マイカー・自転車・バイク通勤可 大阪市中央区安堂寺町1丁…,■未経験：月給20万円〜＋インセンティブ　 ■経験者：月給25万円〜+インセンティブ ※支給する給与に上…,350万円～1500万円,https://tenshoku.mynavi.jp/jobinfo-265143-4-9-1/?ty=0&searchId=1275580528&pageNum=9&showNo=7
406,鹿島フィット株式会社 | 大手ゼネコン鹿島グループ｜充実した福利厚生,ALC・ECPの施工図・割付図作成及び打合せ業務全般　◆鹿島グループが手掛ける高層ビルや商業施設、建造物等の施工図業務に携わることができます。,年齢不問、ALC・ECPの施工図・割付図の作成経験がある方　※経験年数は不問です。,【東京本社勤務】 東京都港区虎ノ門4-1-17　神谷町プライムプレイス8階,月給30万円以上 ※あくまで最低限の給与となります。 　経験・能力を最大限考慮の上、決定します。 　面…,https://tenshoku.mynavi.jp/jobinfo-197015-4-1-1/?ty=0&searchId=1275580528&pageNum=9&showNo=8,
407,有限会社エフォール | 【 業績好調！2年で200台まで増車予定 】初期費用0円★経験不問,【 軽自動車(AT限定可)を使用 】大手通販サイトなどの荷物を、担当エリアに配送します。★荷物は重くても飲料水など ★車両リース＆メンテナンスあり,【 年齢不問｜心機一転、人生をChangeしたい方、大歓迎 】■要普免(AT限定OK) ■自分のペースで働きたい方 ＜元コンビニ店員・倉庫作業員も活躍中＞,【 直行直帰OK 】 ※各エリアごとの配送です。 ▼愛知県 名古屋市／豊橋市／岡崎市／一宮市／瀬戸…,完全出来高制 ※1件あたり150円〜180円 〓〓＜月収70万円近くも可能！＞〓〓 ※荷物単価180円の場合（…,100万円～1000万円,https://tenshoku.mynavi.jp/jobinfo-281498-4-2-1/?ty=0&searchId=1275580528&pageNum=9&showNo=9
408,"第一ダイヤモンド工事株式会社 | 未経験""大""歓迎！昨年は賞与9ヶ月分支給／20代年収600万円の実績",《未経験からでも安心！まずは半年間の研修からスタート！》希望や適性に合わせて【営業／設計アシスタント】に配属します。★手厚い福利厚生が魅力★,【未経験・第二新卒歓迎！／経験不問】◎要普免(AT限定可) ★柔軟性やチャレンジする気持ち等、あなたの人柄を重視！<年間休日110日(土日祝)>,【転勤なし／UIターン歓迎／マイカー通勤OK】 ★東京・仙台のいずれかの拠点★ ※希望勤務地を考慮…,"月給225,000円〜(一律手当含む)+諸手当＋賞与2〜3回 <月収例>303,000円(20代／大卒／諸手当込み) ※月給…",350万円～500万円,https://tenshoku.mynavi.jp/jobinfo-281234-4-2-1/?ty=0&searchId=1275580528&pageNum=9&showNo=10
